  Manufacture of wood and wood products, except furniture...;8046;8542;8662;2885;2898;2839;2813;2874;2897;2964;2937;2878;2856;2762;2736;2634;2616;2611;2513;2528;2580;2518;2535;2620;2498;2481;2593;2464;2469;2515;2588;2639;2571;2627;2658;2580;2662;2825;2709;2790;2853;2874;2759;2833;2740;2612;2539;2552;2445;2413;2480;2495;2398;2316;2252;2149;2148;2090;2064;2032;2035;1978;1888;1696;1756;1793;1764;1625;1702;1760;1782;1764;1742;1642;1683;1793;1788;1757;1828;1775;1709;1955;2041;2124;2146;2097;1829;1915;1922;1962;2007;2037;2043;2068;2045;2452;2433;2398;2453;2247;2242;2240;2155;2249;2210;2258;2195;2570;2744;2723;2777;2640;2696;2696;2664;2853;2740;2758;2884;2781;2623;2548;2490;2354;2257;2170;2000;1586;1762;1753;1765;1737;1792;1973;1887;2056;2158;1990;2023;2156;2021;1970;1925;1850;1828;1834;1874;1820;1809;1874;1888;1947;2013;2052;2065;2087;2130;2161;2187;2217;2163;2150;2200;2190;2171;2235;
  Manufacture of paper and paper products...................;2951;3094;3153;482;497;472;536;526;524;543;559;541;549;532;528;552;545;583;583;574;539;514;506;524;572;589;617;648;635;638;670;644;634;641;621;631;647;662;669;668;667;699;650;711;737;729;766;725;743;744;765;747;748;760;755;778;749;769;745;742;721;736;729;780;820;783;844;874;923;946;993;870;894;893;881;942;913;939;958;1028;1055;1084;1133;1080;1093;1126;1088;1092;1088;1091;1117;1114;1157;1139;1164;1169;1156;1126;1042;1032;1025;981;1036;1128;1115;1239;1221;1215;1253;1274;1309;1207;1199;1191;1154;1381;1280;1294;1291;1370;1405;1375;1351;1332;1317;1280;1178;1040;1011;1085;1154;1140;1205;1185;1248;683;575;613;570;1011;995;901;894;1012;919;896;818;791;824;776;771;770;702;725;793;792;772;793;790;794;833;814;762;775;781;795;
  Printing and reproduction of recorded media...............;3460;3651;3641;2259;2229;2208;2314;2321;2349;2340;2397;2205;2164;2181;2246;2386;2417;2405;2450;2572;2604;2554;2594;2032;2004;2031;2054;2194;2259;2223;2245;2338;2352;2321;2346;2244;2283;2348;2274;1944;2037;2023;2013;1894;1876;1835;1836;1899;1855;1790;1798;1726;1744;1733;1731;1727;1660;1696;1662;1682;1717;1683;1650;1775;1829;1831;1835;1880;1846;1868;1858;1808;1870;1832;1843;1865;1886;1848;1819;1682;1633;1718;1700;1417;1477;1424;1416;1410;1421;1408;1342;1424;1428;1375;1380;1362;1380;1338;1318;1316;1288;1283;1255;1238;1216;1247;1236;1344;1304;1312;1299;1223;1257;1237;1226;1229;1225;1214;1198;1181;1163;1154;1162;1166;1180;1165;1135;1073;1086;1063;1074;1184;1122;1096;1084;1082;1108;1039;1032;1100;988;994;975;958;941;951;927;882;880;880;882;884;882;884;836;893;895;938;935;921;933;911;910;922;916;901;
  Refined petroleum, chemical and pharmaceutical products...;24732;24900;27069;2198;2846;2773;2638;3223;3253;3265;3382;3158;3157;3161;3199;3094;3058;3185;3040;3237;3223;3259;3283;3420;3538;3505;3580;4474;4343;4508;4530;4145;4291;4403;4270;3813;3841;3870;3681;5176;5163;5296;5237;5003;4989;4926;4809;4742;4499;4752;4841;5317;5268;5369;5176;4754;4892;4782;4961;4910;4940;4910;4837;5257;5328;5325;5311;5163;5350;5343;5341;5197;4906;4791;4807;5578;5093;5475;5406;5119;5432;5087;5174;4261;4320;4028;3962;5068;4967;5070;5068;4975;4817;5111;5011;4041;3992;3823;3851;4124;4242;4079;4068;4375;4785;4790;4917;4844;4826;4948;5052;5034;5092;5301;5106;5032;4963;5030;5213;5311;5342;5384;5434;5260;5838;5689;5428;6000;5575;5128;5912;5833;5736;6412;6742;6598;6670;6005;6026;5566;5706;5912;5774;5941;5844;5866;5710;5779;5660;5613;5668;6068;6183;6174;6334;6191;6243;6416;6174;7143;6777;6696;6685;6517;6727;6976;
    Manufacture of basic chemicals etc......................;8123;8477;8940;1050;1199;1419;1486;1655;1727;1671;1754;1665;1708;1665;1755;1827;1799;1907;1784;1874;1860;1888;1943;1904;2015;1957;2078;2648;2554;2687;2736;2315;2454;2494;2467;2119;2179;2125;2041;2388;2424;2427;2510;2299;2345;2266;2237;2357;2119;2390;2468;2543;2489;2564;2398;2273;2377;2191;2454;2170;2221;2179;2139;2137;2152;2128;2149;2263;2319;2343;2361;2581;2488;2456;2468;2313;2085;2360;2356;2302;2531;2354;2500;1965;2082;1964;1934;2162;2114;2169;2205;2103;2021;2221;2238;2388;2394;2308;2286;2326;2337;2236;2272;2190;2400;2336;2386;2098;2076;2183;2179;2312;2319;2281;2203;2081;2105;2105;2152;2335;2257;2398;2356;2434;2957;2868;2990;2130;2151;1998;2539;2429;2487;2673;2665;2592;2727;2449;2407;1826;1753;1808;1814;1732;1728;1826;1841;2036;1976;2098;1979;2069;2190;1980;1888;2180;2069;2134;2183;2212;2283;2255;2306;2252;2245;2313;
  Rubber, plastic and mineral products......................;13770;14239;14314;2610;2617;2507;2577;2517;2572;2707;2674;2634;2517;2506;2438;2442;2486;2502;2445;2685;2614;2519;2516;2722;2602;2590;2651;2596;2667;2671;2702;2731;2712;2727;2745;2760;2745;2963;2831;2768;2838;2998;2790;2779;2691;2499;2523;2478;2450;2348;2442;2484;2463;2484;2416;2366;2198;2289;2278;2184;2162;2195;2141;2101;2153;2150;2138;2140;2213;2212;2270;2369;2327;2315;2367;2492;2382;2370;2436;2522;2630;2447;2448;2416;2503;2611;2512;2466;2393;2410;2498;2537;2443;2498;2434;2316;2302;2261;2269;2364;2309;2322;2242;2271;2373;2438;2631;2615;2714;2733;2672;2862;2957;2935;3059;2998;3071;3151;3225;3237;3056;3262;3354;3803;3906;3522;3103;2725;2569;2731;2667;2459;2750;2820;3000;3149;3194;3185;3237;3398;3253;3177;3184;3198;3306;3468;3470;3585;3659;3518;3440;3412;3486;3441;3413;3545;3569;3590;3579;3530;3614;3713;3673;3688;3629;3612;
  Basic metals..............................................;11750;10930;10831;4001;4041;3807;4446;4432;4566;4627;4742;4470;4258;4433;4122;4142;4181;4236;4188;4261;4416;3631;3933;4619;5279;5052;5415;5336;5367;5591;5527;5415;5368;5509;5395;5185;5218;5542;5478;5597;5617;5569;5754;5986;6027;6126;6075;5909;5992;5688;5730;5637;5655;5803;5713;5868;5866;5754;5907;6281;6230;5904;6099;5328;5345;5593;5738;5764;5796;5800;5650;3560;3174;3087;3223;3913;3711;3719;3844;4016;4089;3983;4116;3849;3819;3957;3951;3749;3750;3845;3857;4157;4142;3947;4082;4352;4337;4415;4567;3756;3951;3894;4065;4372;4585;4795;4825;5370;5434;5522;5640;5455;5663;5555;5020;4297;3923;3666;3887;3876;3785;3787;3696;4665;4888;4657;4005;2841;2792;3084;3263;3314;3357;3425;3364;3383;3266;3084;3046;3085;3041;2937;2845;2834;2823;2914;2991;3072;3150;3264;3112;2907;2909;2956;2946;2796;2748;2676;2690;2724;2722;2690;2703;2707;2746;2795;
  Machinery and other equipment n.e.c.......................;60256;50648;48774;7652;7703;7420;7680;7331;7262;7360;7390;7396;7296;7360;7293;7394;7537;7468;7460;7464;7368;7298;7275;7200;7034;7044;7137;7438;7591;7564;7685;8374;8453;8456;8560;8739;8641;9267;9113;8705;8813;8978;8595;8288;8078;7763;7865;7766;7637;7469;7654;7609;7641;7600;7684;7548;7429;7329;7355;7172;7470;7319;7271;6776;7438;7466;7174;7567;7811;8069;8289;8624;8961;8822;8887;9017;8739;9347;9378;9333;9543;9860;10205;9875;10554;10378;10507;10706;10383;10247;10028;9898;9700;9864;9725;10092;10057;9755;9994;9667;9922;9803;9737;9851;9677;9807;9642;9403;9448;9895;10051;9984;10202;10383;10710;10940;11070;11402;11833;13186;13364;13502;13977;13581;15251;15105;15325;14805;14798;14530;14295;13968;13917;13670;14074;14247;14321;14760;14936;14981;14829;15219;15282;15113;15710;16232;15956;16539;16699;17260;17104;16220;15591;14628;14120;13621;12818;12247;12433;12261;12467;12018;12422;12433;12605;12461;
  Building of ships, oil platforms and moduls...............;20043;18320;18136;4465;4438;4334;4457;4449;4492;4554;4414;4924;4929;4974;4968;4817;4953;5073;5106;5374;5393;5435;5230;4506;4179;4139;4219;4581;4718;4487;4629;5021;4989;4813;5024;4674;4486;4485;4325;4528;4649;4672;4324;4199;4040;3949;3901;3976;3722;3657;3629;3888;3956;3922;3975;3994;3964;4054;4212;3916;4014;4123;4181;4481;4479;4496;4503;4221;4254;4131;4076;4434;4561;4390;4340;4732;4446;4700;4464;5123;5419;5708;5693;5846;6239;6217;6499;5920;5976;5814;5690;5181;4988;5006;5042;5012;5107;5114;5225;5830;5855;5889;5753;5406;5116;5186;5039;4993;5206;5412;5516;5597;5756;5850;6248;6229;6445;6646;6820;6051;6197;6205;6276;5923;6472;6520;6028;5391;5138;4932;4823;4983;4976;4927;4930;4908;4850;4989;5141;5140;4885;5239;5450;5516;6024;5925;5852;5784;6023;6307;6020;5615;5073;4787;4575;4709;4696;4435;4535;4468;4655;4534;4711;4967;4994;5257;
  Furniture and other manufacturing n.e.c...................;5621;6450;6313;2551;2559;2538;2526;2472;2475;2551;2505;2422;2413;2281;2315;2465;2397;2391;2410;2327;2193;2225;2162;2144;2340;2157;2191;2190;2288;2257;2289;2431;2430;2400;2458;2505;2460;2561;2476;2356;2316;2371;2277;2170;2290;2071;2040;2042;2023;1949;2009;1997;1968;1967;1954;1927;1873;1864;1809;1881;1872;1815;1790;1712;1723;1799;1805;1886;1992;1986;2032;1971;1919;1940;1991;2005;1935;2023;2057;2172;2281;2342;2351;2354;2379;2412;2375;2321;2362;2222;2252;2392;2372;2386;2387;2256;2240;2172;2248;2233;2230;2204;2139;2381;2297;2360;2343;2477;2472;2562;2502;2483;2534;2542;2418;2334;2402;2411;2531;2602;2501;2486;2464;2318;2244;1978;1894;1747;1742;1641;1621;1694;1648;1673;1668;1667;1607;1571;1554;1597;1579;1563;1551;1675;1578;1548;1572;1459;1469;1501;1503;1467;1447;1400;1353;1570;1565;1664;1625;1576;1611;1559;1571;1531;1485;1416;
