Quarterly national accounts, 3. quarter 2018;
Table 9. Gross domestic product and value added by industry. At constant 2016-prices. Million kroner;
 
                                                                ;     2015   ;    2016   ;    2017   ;  78:1    ;  78:2    ;  78:3    ;  78:4    ;  79:1    ;  79:2    ;  79:3    ;  79:4    ;  80:1    ;  80:2    ;  80:3    ;  80:4    ;  81:1    ;  81:2    ;  81:3    ;  81:4    ;  82:1    ;  82:2    ;  82:3    ;  82:4    ;  83:1    ;  83:2    ;  83:3    ;  83:4    ;  84:1    ;  84:2    ;  84:3    ;  84:4    ;  85:1    ;  85:2    ;  85:3    ;  85:4    ;  86:1    ;  86:2    ;  86:3    ;  86:4    ;  87:1    ;  87:2    ;  87:3    ;  87:4    ;  88:1    ;  88:2    ;  88:3    ;  88:4    ;  89:1    ;  89:2    ;  89:3    ;  89:4    ;  90:1    ;  90:2    ;  90:3    ;  90:4    ;  91:1    ;  91:2    ;  91:3    ;  91:4    ;  92:1    ;  92:2    ;  92:3    ;  92:4    ;  93:1    ;  93:2    ;  93:3    ;  93:4    ;  94:1    ;  94:2    ;  94:3    ;  94:4    ;  95:1    ;  95:2    ;  95:3    ;  95:4    ;  96:1    ;  96:2    ;  96:3    ;  96:4    ;  97:1    ;  97:2    ;  97:3    ;  97:4    ;  98:1    ;  98:2    ;  98:3    ;  98:4    ;  99:1    ;  99:2    ;  99:3    ;  99:4    ;  00:1    ;  00:2    ;  00:3    ;  00:4    ;  01:1    ;  01:2    ;  01:3    ;  01:4    ;  02:1    ;  02:2    ;  02:3    ;  02:4    ;  03:1    ;  03:2    ;  03:3    ;  03:4    ;  04:1    ;  04:2    ;  04:3    ;  04:4    ;  05:1    ;  05:2    ;  05:3    ;  05:4    ;  06:1    ;  06:2    ;  06:3    ;  06:4    ;  07:1    ;  07:2    ;  07:3    ;  07:4    ;  08:1    ;  08:2    ;  08:3    ;  08:4    ;  09:1    ;  09:2    ;  09:3    ;  09:4    ;  10:1    ;  10:2    ;  10:3    ;  10:4    ;  11:1    ;  11:2    ;  11:3    ;  11:4    ;  12:1    ;  12:2    ;  12:3    ;  12:4    ;  13:1    ;  13:2    ;  13:3    ;  13:4    ;  14:1    ;  14:2    ;  14:3    ;  14:4    ;  15:1    ;  15:2    ;  15:3    ;  15:4    ;  16:1    ;  16:2    ;  16:3    ;  16:4    ;  17:1    ;  17:2    ;  17:3    ;  17:4    ;  18:1    ;  18:2    ;  18:3                      
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gross domestic product (1)..................................;3082694;3119296;3181071;288553;297876;298582;312749;304271;294970;315293;335598;335169;321009;311846;339172;335336;327838;322719;342195;335433;327071;323893;344816;341590;343993;337886;360631;364046;356729;364249;382848;387293;373567;380726;407802;397219;394959;394670;425171;407515;408914;393257;430597;414520;400307;396695;424573;403754;412964;403087;433278;422859;412051;407392;442726;428815;434798;422447;450947;452135;438626;442321;466013;452149;446418;453640;498077;476795;480853;469041;517134;502263;486622;499451;536232;530190;514494;529941;551738;542042;560531;546406;589756;582256;566758;555507;592967;581031;567540;575329;619845;619472;583209;588221;627965;624343;596504;602721;645741;616500;629683;605137;653491;639659;611056;617853;659283;669063;643275;631480;684112;661301;671938;659080;704586;692892;667728;671623;729255;710553;685195;694041;754142;706617;711266;693393;746328;714329;680519;683081;731352;719968;697130;673003;738609;717992;690441;700737;747036;743464;722103;707602;760770;722414;739438;729647;773083;748227;740206;742907;791795;761395;759385;764850;797064;767958;781623;757139;812577;802496;773754;779356;825464;796816;799991;787928;
Agriculture and forestry....................................;21234;21420;21472;2245;2096;8772;3575;1898;1712;7743;3939;2026;1635;8839;3917;2209;1775;8690;4256;2364;1905;8916;3889;2475;1853;7999;4017;2416;1352;10043;4443;2188;1393;8911;3935;2547;1914;6746;3635;2626;2040;6876;3645;3015;1608;6622;3628;3103;1404;7279;3810;3414;1756;8300;3584;3573;1770;8403;3965;3592;1926;6922;3895;3729;1746;8615;3988;3615;2441;7514;4312;3932;1003;8863;4949;3599;1272;8736;5036;3580;2023;8230;4220;3457;1698;8165;4836;3543;1402;8499;4838;3573;2019;7986;4427;3645;1824;7678;4090;3751;1357;7948;4451;3600;1080;8025;4039;3845;1011;9084;4385;3703;617;9126;4938;4130;557;9886;5203;4420;172;10111;5781;5024;543;10716;5499;4918;207;10043;5775;4812;1714;9419;5462;4787;1187;8819;5255;5323;747;8419;5982;4838;931;8710;5747;4329;504;10224;5312;4317;418;11207;5291;4429;446;11203;5342;4501;447;11096;5429;4585;619;9745;
Fishing and aquaculture.....................................;48501;43403;44543;1598;1792;1460;1424;1764;1812;1638;1121;2360;1975;1644;1080;2649;2534;2352;1286;2544;2107;2112;1325;2255;2248;2133;1524;2428;2511;2172;1572;2019;2540;1969;1573;1747;2546;2066;1922;2169;2329;2298;2521;3324;1946;2373;2571;3101;2073;2564;2530;2424;1929;2451;2204;3562;2492;3099;3121;3937;2425;3065;3318;4916;3771;4160;3580;5393;3943;4832;4604;5899;4661;5105;5125;6759;4416;4796;4816;5714;5620;5140;4895;5820;5831;5156;5517;5991;5007;5534;5529;5683;5012;5076;5348;7077;4321;4699;5024;7595;5152;7106;5517;7315;5365;6412;6961;9067;6097;7480;7488;9047;6818;6805;9137;9664;6653;5946;9314;11093;7514;6362;10075;11046;7142;7156;10195;11380;6949;8495;11952;14046;8863;11126;10423;13761;10070;13071;12922;16125;11395;11485;14572;12906;10900;11052;14790;14245;13303;13422;14394;12447;11959;11583;12512;11995;10075;10292;11041;11605;9835;10537;12566;12769;10500;10478;
Mining and quarrying........................................;5196;5012;4891;846;985;810;1005;901;940;861;952;870;866;762;764;788;834;739;791;807;790;708;599;741;935;780;906;812;837;772;879;768;771;747;876;753;991;837;930;852;940;873;918;754;865;804;776;813;937;872;895;836;867;828;894;835;925;831;860;896;931;900;916;747;801;798;771;811;990;986;1031;883;1018;934;1000;1100;1177;1066;1206;1129;1337;1271;1280;1043;1151;1107;1065;1117;1194;1263;1251;1090;1184;1142;1293;1265;1332;1360;1451;1347;1518;1523;1348;1193;1337;1214;1380;1133;1357;1476;1444;1189;1488;1216;1270;1133;1563;1386;1592;1488;1496;1647;1779;1400;1974;1555;1672;1036;1307;1223;1343;1176;1673;1457;1434;1434;1467;1344;1415;1419;1439;1274;1380;1279;1578;1323;1296;1160;1379;1318;1374;1208;1432;1334;1222;1142;1289;1340;1242;1144;1288;1310;1149;1101;1298;1222;
Oil and gas extraction including services...................;391146;395977;399043;15835;15966;19509;17459;17160;15356;24821;25354;27906;25902;22298;26914;25261;26212;24157;24695;24913;25509;25605;25838;28256;30158;29030;30640;31642;35159;36479;33387;33969;32939;37199;38394;39803;30491;39229;42004;40800;41774;39542;44236;45186;41562;43433;48087;54712;56926;57662;60033;59577;58936;56492;68427;69444;69167;64834;74099;77301;75480;75917;81222;76182;77191;79008;89710;91479;91758;84595;101237;96466;95829;98770;111269;109707;109493;113165;115321;120052;117366;112265;123578;119191;113707;103951;113887;111509;107069;108657;121462;124591;113741;114454;126030;122405;116490;121091;131886;123251;125441;116616;134955;129871;119580;120443;132835;135373;127770;116412;129680;125990;120032;118744;123434;120420;111183;111453;117264;115639;104694;105293;115018;111869;102621;100322;114565;115588;99747;100163;108835;111185;99343;86523;107159;105668;88380;92814;102065;105609;95385;85978;97826;94556;92458;89818;97802;97682;87479;88754;101858;100052;92659;97077;101358;103702;96183;89802;106290;103802;97337;97208;100696;100247;92913;94372;
  Oil and gas extraction....................................;355081;360580;365600;14415;13201;15128;14856;15822;16389;18302;20380;24836;23279;18399;23181;22275;23356;20460;21390;22503;21927;21809;22575;24202;26283;25690;27410;28694;28809;29455;32685;28908;28514;32679;35045;33691;26065;35402;39694;37394;37077;35545;40049;41356;37851;39468;44138;51044;52923;53669;55452;56211;55216;51444;63229;64530;64380;60078;69070;72839;70276;70995;76748;72143;73269;75312;85153;86094;87343;80784;96720;91775;91527;93674;105479;104445;104198;107149;108721;112730;110888;106186;116149;113177;108077;98883;108943;107291;103249;104563;117696;119211;108288;109004;118909;117500;111404;116378;126082;115628;118786;111997;129911;125283;113250;114475;126674;128468;120469;110125;122371;118261;111650;110750;114942;112451;102085;103352;108751;106361;96036;95956;106462;103074;93123;90055;105357;105430;89920;91356;99608;101685;90025;78109;97705;97101;79923;84372;93107;96452;86639;77348;88350;85059;82620;80234;87888;88467;78490;79658;92549;90702;83294;88106;92979;95328;86968;80822;97462;95742;88954;88707;92197;92056;84008;85573;
  Service activities incidental to oil and gas..............;36000;35397;33443;10220;12375;16678;12879;8208;3881;18989;16781;11216;10059;11207;12017;10098;10101;10963;10470;9140;11090;11442;10664;11680;11765;10719;10855;10944;16936;18247;7809;13896;12725;13629;12023;12829;9430;9234;7111;6873;8915;7742;8219;6229;6020;6427;6432;4824;5308;5282;6157;4315;4874;6973;7023;6355;6163;6193;6448;4160;5376;4923;4038;3133;2910;2485;3383;4597;3081;2437;2847;3308;2732;3844;4406;3592;3652;4620;5436;6278;5083;4678;6295;4615;4236;3750;3163;3288;2800;3178;2295;3452;3994;3961;6100;2371;2907;2130;3361;6136;4532;1779;1591;1289;4455;3854;3598;3764;4770;3779;4685;5042;6385;5853;6369;5715;7980;6417;6735;8218;7840;8864;7131;7683;9269;10586;8181;9652;9977;8370;8563;8793;9145;8427;8936;7737;8476;8219;8534;8559;8470;8793;9472;9785;10234;9974;10232;9321;9040;9150;9438;9326;9300;8953;8420;8374;9215;8981;8828;8059;8384;8501;8499;8191;8905;8799;
Manufacturing...............................................;213778;203303;203398;39566;42243;35435;41963;42958;41019;38327;43916;43324;41277;37087;42602;42478;39929;36705;42205;43401;40328;36281;41452;40670;40201;35410;41549;43551;41251;37942;44291;45125;43409;39820;45844;42664;44381;40756;45790;45349;43543;41630;46486;43480;43055;37833;43895;40439;41651;36967;42425;41124;39712;36899;41847;38595;40485;35688;40726;40156;39641;36286;40958;40105;40016;37591;42131;40253;42256;38608;43168;42944;41602;37944;42285;44848;42286;40424;44488;43928;46546;42337;47646;46122;44741;41847;46402;46947;45414;41737;45909;47985;43775;41605;45507;47058;43829;40880;45724;44311;46198;41307;44505;47676;44479;42850;46838;48861;46357;45112;49759;48304;50839;46453;51781;52244;49042;46904;53911;54367;51518;48571;54881;52937;57070;50610;54387;52447;48521;46348;51890;51251;50452;47774;53252;53965;50422;48549;53341;55374;50871;49782;54586;52908;55602;52674;56527;56845;55064;54161;58173;55907;54087;50391;53392;50886;52869;47965;51583;52925;49895;47905;52673;50479;51939;48801;
  Food products, beverages and tobacco......................;42008;42675;42991;9080;10962;9390;10096;10007;10944;10463;10913;10382;11063;10074;10947;9348;9878;9107;9810;9232;9839;9207;9570;8649;9451;8616;8936;8409;9017;8461;8877;8565;9497;8913;8871;7923;9758;8934;9071;7922;8660;8745;9270;8022;8692;7787;8832;7615;8906;8443;8667;6673;7725;7119;7449;6709;8101;6910;7333;7391;8388;7429;8202;7622;8360;7676;8619;7481;8583;7932;8347;8474;9387;8561;9162;8430;9056;8258;8797;8253;8635;8055;8618;8313;8251;7780;8284;8439;8130;7890;8765;9827;9246;8583;9425;9470;9201;8834;9652;9205;9687;8936;9308;9920;9753;9540;10314;10164;9696;9661;10173;9622;9970;9654;10645;9453;8975;8790;10105;9041;8766;8610;9611;8673;8935;8547;9553;9291;8777;9093;10094;10014;9375;9460;10208;9594;9303;9597;10279;10134;9591;9955;10950;9464;9553;10507;11073;9797;10109;10687;11236;10035;9972;10689;11312;9994;10384;11071;11226;10449;9908;11038;11596;10009;10358;11041;
  Textiles, wearing apparel, leather........................;2926;2987;3253;1032;1003;778;993;1052;898;834;1022;1109;981;849;1018;1082;949;809;959;1044;879;754;849;902;848;688;839;931;811;721;868;946;855;753;927;908;918;791;914;917;826;713;827;869;803;608;738;651;666;526;665;727;665;574;703;693;726;587;711;794;748;625;740;808;741;652;816;753;775;661;837;813;723;604;679;796;752;708;840;750;847;648;749;828;809;676;819;745;677;533;643;729;603;533;645;783;666;588;756;655;659;529;599;742;597;531;614;647;597;547;665;698;678;583;761;789;711;660;784;872;788;653;716;910;798;745;798;692;594;537;595;738;626;600;713;829;767;700;831;831;736;629;688;805;856;751;839;819;772;730;825;796;739;643;747;711;767;677;832;815;810;725;902;875;903;800;
