  Manufacture of wood and wood products, except furniture...;8046;8542;8662;2757;3123;2575;2989;2958;2901;2687;3120;2892;2930;2500;2911;2731;2598;2359;2682;2636;2540;2275;2714;2598;2576;2245;2783;2591;2390;2285;2780;2731;2520;2394;2852;2535;2747;2579;2905;2951;2737;2621;2961;2834;2779;2378;2736;2495;2529;2194;2690;2602;2309;2109;2460;2060;2228;1911;2265;2073;1967;1816;2072;1723;1703;1649;1929;1565;1747;1621;1934;1805;1696;1515;1807;1816;1779;1625;1935;1716;1805;1811;2131;2225;2119;1942;1890;1924;2003;1814;2053;2148;2051;1903;2079;2592;2462;2191;2492;2208;2451;2035;2197;2372;2251;2043;2253;2700;2790;2460;2878;2559;2939;2438;2795;2939;2771;2505;3053;2802;2677;2332;2643;2200;2466;1999;2112;1587;1801;1621;1850;1659;1932;1823;1962;2063;2230;1839;2091;2151;2110;1820;1985;1737;2029;1699;1932;1807;1864;1723;1921;1889;2127;1925;2105;1896;2415;1995;2235;2228;2208;1969;2257;2004;2345;1980;
  Manufacture of paper and paper products...................;2951;3094;3153;488;512;440;548;554;519;506;571;571;543;497;539;583;540;545;593;607;534;481;513;554;566;554;625;684;628;601;679;678;627;605;631;636;667;627;681;698;661;663;662;742;730;692;778;729;765;707;773;786;740;723;759;790;771;731;745;786;716;699;727;828;815;744;841;928;917;899;991;921;886;852;880;995;901;902;957;1040;1081;1048;1131;1132;1078;1092;1085;1139;1078;1060;1111;1161;1148;1110;1156;1217;1147;1099;1034;1032;1054;960;1031;1171;1100;1215;1220;1258;1231;1254;1311;1195;1225;1176;1159;1417;1256;1280;1299;1401;1380;1359;1360;1312;1344;1264;1183;1071;992;1067;1154;1185;1180;1163;1240;716;565;600;563;1070;974;880;881;1030;934;877;808;799;793;766;764;779;678;714;780;776;768;784;766;810;784;795;765;761;763;788;
  Printing and reproduction of recorded media...............;3460;3651;3641;2341;2273;2001;2395;2539;2268;2125;2480;2360;2133;1989;2319;2600;2334;2205;2527;2792;2513;2352;2681;2107;2011;1876;2136;2356;2168;2059;2355;2461;2279;2153;2481;2257;2294;2178;2422;2056;1935;1878;2151;1920;1853;1706;1961;1896;1862;1666;1911;1822;1663;1615;1831;1727;1678;1583;1750;1776;1646;1576;1736;1867;1757;1718;1934;1890;1845;1757;1966;1885;1788;1727;1961;1911;1822;1749;1938;1651;1641;1629;1809;1470;1408;1351;1499;1419;1405;1335;1413;1487;1370;1304;1442;1428;1326;1270;1371;1310;1307;1219;1302;1305;1166;1186;1279;1419;1251;1248;1343;1227;1273;1175;1266;1303;1176;1150;1237;1247;1125;1090;1200;1185;1191;1094;1173;1135;1062;996;1104;1210;1127;1029;1123;1130;1081;985;1068;1136;970;949;1008;946;958;911;976;897;859;843;903;883;874;847;856;878;913;895;965;933;908;863;937;909;911;852;
  Refined petroleum, chemical and pharmaceutical products...;24732;24900;27069;2323;2919;2587;2595;3412;3330;3050;3327;3348;3219;2956;3157;3278;3107;2981;3023;3406;3266;3061;3297;3554;3586;3303;3631;4582;4412;4262;4634;4191;4364;4177;4397;3820;3902;3696;3788;5184;5221;5089;5365;5031;5027;4748;4904;4796;4520;4584;4922;5399;5287;5176;5256;4834;4917;4603;5033;4996;4975;4714;4903;5365;5353;5117;5378;5284;5355;5138;5426;5311;4899;4618;4893;5684;5085;5279;5513;5211;5410;4920;5272;4338;4298;3897;4039;5160;4946;4909;5138;5089;4806;4939;5051;4161;3986;3686;3866;4263;4253;3908;4083;4528;4820;4563;4929;5034;4870;4682;5067;5258;5131;4989;5134;5279;4991;4707;5256;5601;5355;5012;5490;5470;5867;5105;5494;5824;5421;5015;5953;5935;5739;5966;6945;6835;6634;5720;6005;5865;5740;5513;5666;6182;6173;5515;5618;5967;5750;5365;5548;6283;6334;5968;6147;6351;6606;6089;5853;7606;6835;6217;6412;6698;6805;6377;
    Manufacture of basic chemicals etc......................;8123;8477;8940;1156;1217;1313;1410;1806;1775;1540;1696;1823;1752;1547;1679;1972;1852;1764;1740;1983;1914;1770;1922;1998;2050;1854;2058;2752;2630;2523;2767;2329;2524;2392;2491;2158;2205;2035;2053;2406;2473;2329;2542;2360;2358;2209;2246;2415;2120;2307;2460;2588;2529;2455;2429;2309;2389;2130;2451;2229;2266;2082;2141;2179;2181;2057;2150;2345;2304;2280;2339;2686;2472;2383;2428;2436;2059;2320;2341;2429;2458;2305;2465;2055;2053;1912;1924;2256;2074;2131;2193;2211;2008;2155;2201;2493;2386;2227;2292;2405;2310;2189;2272;2230;2421;2268;2374;2152;2098;2129;2195;2364;2308;2235;2187;2131;2124;2036;2123;2413;2277;2300;2362;2566;2940;2765;2959;2208;2161;1920;2535;2519;2465;2612;2656;2670;2700;2430;2355;1922;1726;1787;1773;1826;1670;1846;1772;2096;1942;2092;1953;2135;2156;1966;1866;2207;2050;2097;2124;2267;2230;2181;2262;2299;2161;2239;
  Rubber, plastic and mineral products......................;13770;14239;14314;2598;2702;2322;2692;2659;2508;2503;2788;2732;2510;2311;2538;2598;2428;2299;2546;2861;2554;2309;2625;2773;2655;2373;2777;2753;2597;2457;2840;2840;2675;2520;2892;2734;2829;2744;2986;2897;2764;2775;2946;2778;2743;2311;2667;2436;2540;2170;2583;2580;2417;2296;2553;2311;2296;2120;2397;2260;2141;2034;2237;2178;2145;1988;2217;2134;2317;2035;2341;2480;2340;2127;2429;2580;2430;2180;2495;2501;2796;2262;2506;2532;2506;2427;2573;2480;2483;2256;2556;2632;2449;2346;2490;2390;2315;2129;2318;2288;2480;2183;2292;2317;2417;2292;2689;2659;2772;2570;2732;2739;3203;2767;3123;3039;3131;2986;3289;3251;3131;3111;3417;3562;4108;3269;3088;2748;2613;2601;2728;2378;2901;2736;3021;3175;3273;3089;3238;3398;3386;3094;3150;2985;3651;3362;3476;3500;3803;3412;3431;3222;3764;3365;3419;3222;3939;3503;3576;3384;3714;3584;3632;3330;3887;3501;
  Basic metals..............................................;11750;10930;10831;4044;4094;3612;4470;4670;4636;4215;4831;4702;4339;4016;4165;4313;4274;3926;4230;4416;4523;3388;3954;4791;5399;4713;5605;5566;5468;5159;5643;5528;5426;5224;5414;5380;5241;5177;5633;5656;5621;5352;5938;6097;6037;5909;6384;5785;6013;5651;5770;5718;5687;5567;5851;5805;5907;5665;5909;6243;6288;5841;6247;5176;5407;5583;5843;5603;5882;5758;5889;3381;3229;3130;3221;3874;3786;3661;3803;4060;4179;3794;4136;3863;3904;3817;3969;3792;3828;3703;3846;4307;4222;3873;3993;4553;4413;4157;4553;3857;4010;3740;3987;4559;4647;4507;4889;5477;5498;5349;5767;5434;5722;5380;5307;4129;3950;3669;3961;3850;3800;3665;3836;4705;4881;4559;4072;2895;2826;2988;3295;3365;3385;3334;3366;3434;3288;3014;3046;3148;3071;2903;2859;2869;2864;2828;2917;3161;3199;3131;3125;2874;2965;2950;2961;2820;2850;2626;2634;2720;2759;2643;2709;2706;2807;2725;
  Machinery and other equipment n.e.c.......................;60256;50648;48774;7814;7891;6534;8229;8014;6959;6471;7914;7898;7173;6457;7803;8118;7231;6533;7969;8218;7078;6365;7767;7547;7111;6134;7634;8186;7294;6593;8249;9015;8262;7381;9234;8880;8896;8092;9892;9385;8502;7831;9387;8430;8224;6764;8616;7722;7944;6506;8377;8068;7466;6636;8366;7471;7798;6437;7942;7589;7359;6476;7771;7180;7346;6655;7593;7645;8119;7233;8711;9193;8845;7939;9296;9488;8750;8427;9787;9373;10007;8916;10628;10647;10305;9404;10931;11087;10550;9309;10408;10712;9432;8984;10077;10930;9758;8919;10332;9794;10284;8985;10059;10667;9382;8999;9941;10193;9170;9071;10353;10114;10620;9508;11012;11853;10810;10420;12161;14148;13205;12323;14354;13900;15474;13781;15369;16026;14361;13334;14928;14372;14018;12684;14525;15377;13738;13650;15332;16131;14297;14062;15879;15119;16049;14925;16399;17648;16072;15806;17558;16906;15434;13268;14648;13512;13259;11007;12870;13222;11864;10804;12884;12540;12541;11110;
  Building of ships, oil platforms and moduls...............;20043;18320;18136;4670;4648;3741;4644;4950;4417;3938;4604;5349;4947;4318;5179;5352;4847;4414;5331;5964;5268;4735;5473;4768;4266;3608;4443;5044;4590;3927;4903;5400;4926;4235;5341;4767;4635;3971;4600;4886;4517;4160;4589;4322;4110;3528;4126;4032;3853;3272;3812;4214;3855;3511;4152;4084;4116;3636;4371;4266;3929;3707;4317;4883;4393;4060;4613;4409;4370;3748;4139;4871;4475;3996;4383;5127;4428;4290;4506;5296;5635;5232;5757;6409;6081;5723;6589;6229;6036;5361;5793;5641;4846;4623;5144;5444;4959;4732;5321;5958;6057;5452;5833;5884;4992;4792;5107;5428;5093;4989;5617;5691;5996;5383;6413;6684;6319;6105;7066;6394;6117;5699;6555;6111;6631;5750;6372;5579;5049;4573;5088;5114;5006;4539;5089;5149;4744;4649;5383;5346;4829;4921;5619;5529;6083;5554;6133;6095;5905;5854;6258;5849;5055;4394;4745;4664;4953;4016;4687;4759;4530;4097;4750;4969;5068;4774;
  Furniture and other manufacturing n.e.c...................;5621;6450;6313;2540;2616;2177;2833;2653;2349;2191;2806;2603;2287;1963;2588;2650;2274;2062;2683;2505;2083;1923;2399;2310;2222;1872;2423;2360;2170;1970;2526;2615;2303;2103;2709;2505;2505;2247;2732;2532;2190;2081;2517;2329;2165;1817;2259;2033;2060;1708;2227;2133;1868;1726;2166;1909;1915;1640;2003;1997;1781;1605;1978;1811;1643;1597;1988;1992;1905;1770;2225;2082;1841;1733;2167;2122;1863;1810;2223;2146;2370;2096;2526;2507;2307;2156;2541;2476;2298;1984;2403;2555;2313;2132;2535;2416;2183;1950;2373;2227;2336;1992;2244;2554;2238;2145;2447;2657;2410;2333;2611;2476;2659;2306;2533;2500;2348;2172;2669;2780;2450;2221;2615;2326;2343;1749;2023;1899;1677;1449;1734;1779;1625;1490;1784;1857;1517;1396;1639;1779;1508;1389;1618;1688;1603;1392;1631;1575;1404;1343;1562;1547;1422;1248;1403;1625;1596;1481;1748;1740;1516;1395;1662;1598;1477;1249;
  Repair and installation of machinery and equipment........;18054;16867;16261;4094;4308;3414;4128;4296;4211;3957;4623;4224;3920;3484;4166;4069;3675;3376;4079;4262;3768;3408;3990;4138;3807;3283;4059;4075;3673;3219;4048;4226;3839;3328;4237;3898;3832;3360;4010;3793;3492;3226;3662;3639;3488;2951;3570;3712;3639;3044;3679;3455;3189;2885;3451;3158;3229;2802;3330;3290;3148;2934;3394;3505;3366;3093;3523;3134;3192;2775;3144;3339;3136;2748;2986;3322;3006;2917;3060;3178;3393;3095;3536;2871;2762;2593;2979;2851;2752;2463;2685;2515;2192;2102;2291;2504;2314;2192;2472;2472;2587;2318;2507;2502;2170;2096;2257;2501;2306;2255;2563;2619;2743;2448;2871;3800;3513;3323;3910;3756;3534;3308;3831;3225;3576;3324;3575;3764;3483;3368;3711;3874;3868;3478;3783;3919;3475;3414;3816;4418;3835;3804;4245;4596;4801;4339;4639;4635;4430;4442;4982;4785;4647;4363;4260;4438;4419;3820;4190;4259;4060;3775;4167;4080;4074;3605;
Electricity, gas and steam..................................;60072;60681;60215;9042;6915;6158;9015;9358;7222;7134;9243;10353;7438;6259;9137;10241;8091;7143;10275;11002;8096;6896;9892;10830;8788;7991;10714;11797;8511;8005;10149;12534;8083;6800;10646;11204;8008;7281;9815;11498;7924;6902;10324;10751;8140;8122;11075;10662;9216;8512;11335;11066;9230;8719;11186;12520;9415;7549;10325;11727;9645;8926;11760;11757;9009;8639;12300;11924;8709;8183;10931;12434;9644;9070;13060;13787;8558;6582;9763;10473;9454;9169;12602;12361;9405;9517;12453;11935;9489;9881;12109;13538;11571;10891;12722;15462;11095;10023;14407;14113;11307;10859;13767;11363;8909;8762;11653;13443;9981;9421;12941;16308;12765;11737;15824;17418;11857;10736;13584;14454;11979;12797;14195;14479;11877;11006;14130;14069;9800;10053;14180;15115;9162;8840;13579;11931;9322;11088;14758;15116;12397;12297;15569;15513;12014;11918;14845;16090;13522;12339;16223;16897;13717;13184;16275;17998;13952;12586;16146;16922;13668;13060;16564;17807;12660;12454;
Water supply, sewerage, waste...............................;18528;18495;19115;3375;3430;3443;3538;3340;3332;3279;3366;3013;3035;3050;3120;3529;3502;3485;3497;3676;3593;3590;3696;3960;3953;3904;3923;4177;4153;4194;4255;4446;4444;4419;4530;4168;4407;4552;4810;4277;4508;4753;5062;5024;4864;4961;5067;5750;5658;5611;5783;5497;5468;5502;5650;5407;5377;5373;5388;5234;5183;5146;5197;4897;4861;4849;4933;4947;4932;4912;4926;4833;4809;4784;4838;4934;4869;4856;4916;5147;5120;5102;5177;5232;5194;5232;5276;5108;5091;5104;5161;5220;5197;5214;5311;5396;5331;5271;5595;5323;5395;5330;5403;5343;5339;5296;5402;4968;4986;5019;5167;5195;5401;5212;5456;5528;5473;5196;5583;4243;4279;4199;4555;4361;4656;4658;4565;4022;4229;4358;4763;4011;4271;4368;4626;3924;4157;4227;4535;4285;4446;4406;4427;4155;4297;4472;4512;4340;4535;4528;4722;4412;4656;4696;4763;4534;4642;4558;4760;4838;4672;4676;4929;4924;4992;4932;
Construction................................................;175526;182191;190553;22548;23972;21712;25038;21419;20356;19561;22550;21903;21100;20373;23116;20855;20398;19653;22611;21371;20960;20180;23633;21779;22416;20932;24125;23343;21851;21093;24427;23954;23026;22627;25679;24225;26906;24357;27664;26727;27503;24409;28759;26818;27040;25284;28701;25697;27161;24530;28352;26384;25007;24071;27808;22303;23593;22025;24989;23640;22791;22039;25335;22183;21729;20962;24530;22778;23382;21866;25186;23368;24431;25208;26215;24254;25327;26290;27757;25991;28824;28636;30989;29996;30256;30171;31605;31057;30252;28721;31942;31986;30167;29076;32210;30889;29813;29150;31988;30735;31446;29517;32207;32691;31591;30471;33973;32081;33015;31949;36111;33185;35575;33068;36953;37727;37004;35133;39519;39578;40135;39228;45684;41698;43802;38910;42486;40504;38347;36281;39740;37176;37952;35742;39964;38599;38011;36175;42184;42296;41410;38586;43858;40458;42962;39984;45557;42885;42830;41101;45418;42911;44328;41735;46552;42685;46809;42220;50477;49350;45162;43693;52347;48222;49900;45536;
Wholesale and retail trade, repair of motor vehicles........;225322;232613;237257;12783;13901;13359;14850;14627;14787;14150;15934;15504;15695;15181;16644;15969;15856;15127;16955;16338;16422;15568;17067;16055;16600;15997;18024;16822;17141;16549;18657;19604;19808;18673;20986;20056;21922;20087;22442;21157;21471;20113;22322;20318;20381;19160;21111;18458;19638;18472;20673;18662;19295;18748;20661;18823;19885;19040;21358;19516;20072;19626;22335;19502;20531;20356;23186;21489;22420;22228;25258;23261;23552;23745;26155;25508;25467;25772;29318;25543;28019;27611;31488;28923;30088;30236;33717;29464;29204;29919;34062;31987;32328;31745;35857;33271;33580;33093;38663;33099;34918;34016;38569;35190;35608;36320;41295;36425;36887;37409;42661;36265;39554;38862;43178;39286;41081;41284;47600;42981;44311;43115;50092;44653;47883;44691;48467;42222;44529;44203;49190;45585;47121;46253;50668;45750;48934;46939;51592;48166;50427;49619;54863;48485;52492;50959;54016;51781;54485;52907;57932;53587;56646;55080;60009;53772;59673;57085;62083;56451;58591;58437;63778;56874;61976;59282;
